timestamp,src_ip,dst_ip,protocol,size
1759594992.0598998,192.168.0.212,255.255.255.255,UDP,100
1759594992.348305,192.168.0.202,44.229.50.4,TCP,54
1759594992.673792,44.229.50.4,192.168.0.202,TCP,66
1759594993.697202,Unknown,Unknown,Unknown,42
1759594994.721192,Unknown,Unknown,Unknown,42
1759594994.935437,192.168.0.202,52.108.44.3,TCP,102
1759594994.9623759,52.108.44.3,192.168.0.202,TCP,54
1759594995.136019,192.168.0.111,224.0.0.251,UDP,393
1759594995.2356029,Unknown,Unknown,Unknown,413
1759594995.785631,192.168.0.202,40.100.141.162,UDP,77
1759594995.8335192,40.100.141.162,192.168.0.202,UDP,70
1759594997.3343842,192.168.0.202,52.111.232.10,TCP,54
1759594997.458747,52.111.232.10,192.168.0.202,TCP,66
1759594997.835787,192.168.0.202,52.111.232.2,TCP,54
1759594997.9630651,52.111.232.2,192.168.0.202,TCP,66
1759594998.728389,192.168.0.202,17.248.153.76,UDP,83
1759594998.73366,17.248.153.76,192.168.0.202,UDP,74
1759594999.432725,192.168.0.1,192.168.0.255,UDP,369
1759595001.0851488,192.168.0.202,52.123.171.38,TCP,124
1759595001.202483,52.123.171.38,192.168.0.202,TCP,113
1759595001.203239,192.168.0.202,52.123.171.38,TCP,66
1759595001.529153,192.168.0.202,52.108.8.12,TCP,54
1759595001.53476,52.108.8.12,192.168.0.202,TCP,54
1759595001.694999,40.100.141.162,192.168.0.202,UDP,81
1759595001.696331,192.168.0.202,40.100.141.162,UDP,81
1759595001.900672,192.168.0.202,40.100.141.162,UDP,77
1759595001.94097,40.100.141.162,192.168.0.202,UDP,70
1759595002.1477,192.168.0.202,40.100.141.162,UDP,77
1759595002.175804,40.100.141.162,192.168.0.202,UDP,70
1759595002.382286,192.168.0.202,40.100.141.162,UDP,77
